gene.ensembl	gene.sym
ENSMUSG00000047613	A430005L14Rik
ENSMUSG00000056014	A430033K04Rik
ENSMUSG00000043522	A430060F13Rik
ENSMUSG00000074497	A430078G23Rik
ENSMUSG00000094560	A430089I19Rik
NA	A430105I19Rik
ENSMUSG00000047878	A4galt
ENSMUSG00000037953	A4gnt
ENSMUSG00000043122	A530016L24Rik
ENSMUSG00000089844	A530032D15Rik
ENSMUSG00000043939	A530064D06Rik
ENSMUSG00000090863	A530084C06Rik
ENSMUSG00000047462	A530099J19Rik
ENSMUSG00000052760	A630001G21Rik
ENSMUSG00000075395	A630010A05Rik
ENSMUSG00000095493	A630023A22Rik
NA	A630033H20Rik
ENSMUSG00000067541	A630073D07Rik
ENSMUSG00000094613	A630076J17Rik
ENSMUSG00000070313	A630095E13Rik
ENSMUSG00000096094	A630095N17Rik
ENSMUSG00000090551	A730015C16Rik
ENSMUSG00000050875	A730017C20Rik
